x,y
332,239
331,239
331,239
331,239
331,239
331,240
331,240
331,240
331,240
331,241
331,241
331,241
331,241
331,241
331,242
331,242
331,242
331,242
331,243
331,243
331,243
331,243
331,243
330,244
330,244
330,244
330,244
330,244
330,245
330,245
330,245
330,245
330,245
329,246
329,246
329,246
329,246
329,246
329,247
329,247
328,247
328,247
328,247
328,247
328,248
328,248
328,248
327,248
327,248
327,248
327,248
327,249
327,249
326,249
326,249
326,249
326,249
326,249
325,250
325,250
325,250
325,250
325,250
324,250
324,250
324,250
324,250
324,250
323,251
323,251
323,251
323,251
323,251
322,251
322,251
322,251
322,251
321,251
321,251
321,251
321,251
321,251
320,251
320,251
320,251
320,251
319,251
319,251
319,251
319,251
319,252
318,251
318,251
318,251
318,251
317,251
317,251
317,251
317,251
316,251
316,251
316,251
316,251
316,251
315,251
315,251
315,251
315,251
314,251
314,251
314,251
314,251
314,251
313,250
313,250
313,250
313,250
313,250
312,250
312,250
312,250
312,250
312,250
311,249
311,249
311,249
311,249
311,249
310,249
310,249
310,248
310,248
310,248
310,248
309,248
309,248
309,248
309,247
309,247
309,247
309,247
308,247
308,247
308,246
308,246
308,246
308,246
308,246
307,245
307,245
307,245
307,245
307,245
307,244
307,244
307,244
307,244
307,244
306,243
306,243
306,243
306,243
306,243
306,242
306,242
306,242
306,242
306,241
306,241
306,241
306,241
306,241
306,240
306,240
306,240
306,240
306,239
306,239
306,239
306,239
306,239
306,238
306,238
306,238
306,238
306,237
306,237
306,237
306,237
306,236
306,236
306,236
306,236
306,236
306,235
306,235
306,235
306,235
306,234
306,234
306,234
306,234
306,234
307,233
307,233
307,233
307,233
307,233
307,232
307,232
307,232
307,232
307,232
308,231
308,231
308,231
308,231
308,231
308,230
308,230
309,230
309,230
309,230
309,230
309,229
309,229
309,229
310,229
310,229
310,229
310,229
310,228
310,228
311,228
311,228
311,228
311,228
311,228
312,227
312,227
312,227
312,227
312,227
313,227
313,227
313,227
313,227
313,227
314,226
314,226
314,226
314,226
314,226
315,226
315,226
315,226
315,226
316,226
316,226
316,226
316,226
316,226
317,226
317,226
317,226
317,226
318,226
318,226
318,226
318,226
318,226
319,226
319,226
319,226
319,226
320,226
320,226
320,226
320,226
321,226
321,226
321,226
321,226
321,226
322,226
322,226
322,226
322,226
323,226
323,226
323,226
323,226
323,226
324,227
324,227
324,227
324,227
324,227
325,227
325,227
325,227
325,227
325,227
326,228
326,228
326,228
326,228
326,228
327,228
327,228
327,229
327,229
327,229
327,229
328,229
328,229
328,229
328,230
328,230
328,230
328,230
329,230
329,230
329,231
329,231
329,231
329,231
329,231
330,232
330,232
330,232
330,232
330,232
330,233
330,233
330,233
330,233
330,233
331,234
331,234
331,234
331,234
331,234
331,235
331,235
331,235
331,235
331,236
331,236
331,236
331,236
331,236
331,237
331,237
331,237
331,237
331,238
331,238
331,238
331,238
331,238

